,country,review_description,designation,points,price,winery,variety,region
0,2,183,0.0,83,1.0,425,0.0,29
1,37,228,-1.0,89,1.0,10330,1.0,1358
2,19,275,1.0,94,1.0,11612,2.0,941
3,12,173,2.0,87,1.0,5800,3.0,1141
4,12,211,3.0,88,1.0,4033,4.0,571
5,0,310,4.0,85,1.0,413,5.0,918
6,37,241,5.0,91,1.0,7141,1.0,1358
7,37,274,6.0,90,1.0,11806,6.0,378
8,37,207,7.0,91,1.0,6139,7.0,892
9,19,284,8.0,86,1.0,9354,1.0,1219
10,37,252,9.0,90,1.0,4799,8.0,250
11,26,264,-1.0,90,1.0,5108,0.0,743
12,12,221,-1.0,86,1.0,7505,9.0,39
13,3,208,-1.0,88,1.0,7324,10.0,1372
14,7,356,10.0,93,1.0,8646,1.0,516
15,12,180,-1.0,88,1.0,2708,11.0,67
16,19,292,-1.0,91,1.0,10967,1.0,1265
17,7,191,11.0,85,1.0,6050,0.0,524
18,19,292,12.0,93,1.0,10595,2.0,941
19,19,228,13.0,87,1.0,13730,12.0,1216
20,37,120,-1.0,83,1.0,11903,5.0,337
21,19,309,-1.0,89,1.0,2310,2.0,941
22,37,226,14.0,84,1.0,14162,7.0,367
23,19,243,15.0,91,1.0,6220,2.0,939
24,12,241,-1.0,86,1.0,7183,11.0,57
25,12,238,-1.0,95,2.0,3508,11.0,81
26,7,233,16.0,88,1.0,187,4.0,225
27,12,261,17.0,93,1.0,222,0.0,126
28,12,98,18.0,92,1.0,4037,11.0,95
29,37,347,-1.0,90,1.0,6345,0.0,361
30,19,220,19.0,89,1.0,4679,1.0,1048
31,26,297,20.0,92,1.0,14012,13.0,597
32,37,209,-1.0,84,1.0,13481,5.0,253
33,19,289,21.0,90,1.0,766,12.0,1219
34,37,191,22.0,92,1.0,5999,0.0,889
35,12,227,23.0,89,1.0,5141,7.0,11
36,37,294,-1.0,87,1.0,12292,5.0,321
37,37,257,24.0,92,1.0,8220,11.0,332
38,37,280,25.0,88,1.0,5946,8.0,278
39,37,184,26.0,84,1.0,9222,13.0,241
40,19,279,27.0,89,1.0,11196,14.0,827
41,37,92,-1.0,81,1.0,7453,1.0,244
42,37,237,28.0,84,1.0,8703,13.0,283
43,19,220,29.0,88,1.0,6448,12.0,1218
44,37,304,-1.0,90,1.0,12231,15.0,337
45,28,137,30.0,85,1.0,7517,16.0,933
46,28,131,31.0,84,1.0,5880,17.0,7
47,37,317,32.0,91,1.0,13045,18.0,361
48,37,156,-1.0,84,1.0,11513,19.0,1340
49,37,347,33.0,92,1.0,12663,13.0,313
50,37,177,34.0,87,1.0,9537,12.0,1358
51,12,253,35.0,94,2.0,13335,20.0,510
52,37,171,36.0,88,1.0,14332,13.0,900
53,37,326,37.0,92,1.0,11911,0.0,289
54,37,360,-1.0,92,1.0,14149,5.0,321
55,37,241,38.0,93,1.0,385,7.0,348
56,37,271,39.0,88,1.0,77,21.0,244
57,37,179,-1.0,88,1.0,148,0.0,902
58,7,238,40.0,83,1.0,4695,5.0,737
59,19,270,41.0,92,1.0,6779,2.0,941
60,37,269,42.0,89,1.0,891,8.0,278
61,28,404,43.0,92,1.0,18,16.0,536
62,0,285,44.0,86,1.0,456,7.0,914
63,37,167,45.0,83,1.0,10291,12.0,337
64,37,318,38.0,94,1.0,6178,5.0,266
65,37,267,46.0,90,1.0,8253,6.0,388
66,14,234,47.0,92,1.0,5938,22.0,991
67,37,243,48.0,92,1.0,11620,6.0,274
68,7,282,49.0,88,1.0,14230,4.0,737
69,19,278,50.0,88,1.0,13216,1.0,1135
70,19,315,51.0,91,1.0,12608,2.0,941
71,37,261,-1.0,91,2.0,14597,5.0,321
72,12,346,52.0,93,1.0,10736,18.0,999
73,12,188,-1.0,87,1.0,3240,11.0,85
74,37,135,53.0,84,1.0,8585,0.0,399
75,7,240,54.0,85,1.0,4540,21.0,746
76,28,197,-1.0,86,1.0,13903,16.0,536
77,12,150,-1.0,87,1.0,1409,0.0,208
78,37,177,55.0,89,1.0,8377,7.0,377
79,37,231,56.0,86,1.0,13459,7.0,889
80,12,203,57.0,87,1.0,5916,8.0,59
81,12,296,58.0,94,1.0,4033,4.0,1145
82,34,264,59.0,84,1.0,6115,23.0,426
83,37,241,-1.0,84,1.0,835,24.0,244
84,37,198,60.0,86,1.0,14482,6.0,267
85,37,238,-1.0,89,1.0,940,8.0,811
86,0,234,61.0,84,1.0,12102,4.0,754
87,12,237,62.0,93,1.0,3611,3.0,98
